"title","exeCnt","adjudgeYm","atchNm","atchFilePath","atchNm2","atchFilePath2","regDate","chgDate"
"헌법재판소 공보 제219호","1","201412","헌법재판소 공보 제219호 판례(0130).hwp","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=162&attachSeq=1&attachSaveName=20150213113638_hsijacnjaqmjxdw.hwp						
						","헌법재판소 공보 제219호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=162&attachSeq=2&attachSaveName=20150213113638_bimtcjtbiaedqlb.pdf						
						","20150213",""
"헌법재판소 공보 제218호","6","201411","","
						
					","헌법재판소 공보 제218호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=161&attachSeq=2&attachSaveName=20150102101650_esxbubnuiuwsnar.pdf						
						","20150102",""
"헌법재판소 공보 제217호","5","201410","헌법재판소 공보 제217호 판례(1120).hwp","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=160&attachSeq=1&attachSaveName=20141201144027_cejtbprtybakxfq.hwp						
						","헌법재판소 공보 제217호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=160&attachSeq=2&attachSaveName=20141201144027_jpudjabwasytpnn.pdf						
						","20141201",""
"헌법재판소 공보 제216호","17","201409","","
						
					","헌법재판소 공보 제216호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=159&attachSeq=2&attachSaveName=20141104171327_gfpvljmjwplweud.pdf						
						","20141104",""
"헌법재판소 공보 제215호","16","201408","헌법재판소 공보 제215호 판례(0920).hwp","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=158&attachSeq=1&attachSaveName=20141001134034_sjximffulhjfnym.hwp						
						","헌법재판소 공보 제215호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=158&attachSeq=2&attachSaveName=20141001134034_fvssbqqbuircktm.pdf						
						","20141001",""
"헌법재판소 공보 제214호","19","201407","헌법재판소 공보 제214호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=157&attachSeq=1&attachSaveName=20140901160423_limdeijumvimojd.pdf						
						","","
						
					","20140901",""
"헌법재판소 공보 제213호","21","201406","헌법재판소 공보 제213호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=156&attachSeq=1&attachSaveName=20140801134131_tkclfhanghkahdl.pdf						
						","헌법재판소 공보 제213호.zip","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=156&attachSeq=2&attachSaveName=20140902135858_xvjwcssmvlnelmc.zip						
						","20140801",""
"헌법재판소 공보 제212호","19","201405","헌법재판소 공보 제212호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=155&attachSeq=1&attachSaveName=20140703184836_lrajcftqtknmanl.pdf						
						","헌법재판소 공보 제212호.zip","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=155&attachSeq=2&attachSaveName=20140707163535_feemmnmrbepuwah.zip						
						","20140703",""
"헌법재판소 공보 제211호","29","201404","헌법재판소 공보 제211호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=154&attachSeq=1&attachSaveName=20140530110259_tfviodfhhlscctc.pdf						
						","","
						
					","20140530",""
"헌법재판소 공보 제211호","29","201404","헌법재판소 공보 제211호.PDF","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=153&attachSeq=1&attachSaveName=20140530110222_hyonwyiqywispmd.pdf						
						","헌법재판소 공보 제211호.zip","
							http://www.ccourt.go.kr/cckhome/cmmn/downloadAttachFile.do?classCode=PUBLIC&classSeq=153&attachSeq=2&attachSaveName=20140707163418_sbqfeaknyxuadpv.zip						
						","20140530",""
